researcher_ID,first_name,last_name,sex,birth_date,org_acronym,start_date
r0061,Duffy,Dipiazza,M,1967-11-19,E.F.S.A.,2021-08-20
r0062,Pepita,Granholm,F,1987-05-18,E.I.G.E.,2022-04-18
r0063,Nyssa,Gann,F,1981-11-08,B.E.R.E.C.,2019-10-11
r0064,Archibald,Ermitanio,M,1998-05-20,E.I.O.P.A.,2021-08-07
r0065,Nara,Gammons,F,1984-03-08,E.U.S.P.A.,2020-07-14
r0066,Sarge,Turnley,M,1984-01-15,E.I.G.E.,2020-10-01
r0067,Ingmar,Balanoff,M,1995-03-14,E.D.P.B.,2021-07-12
r0068,Claudia,Nittinger,F,1961-04-18,E.B.A.,2020-08-10
r0069,Maryanna,Rokos,F,1980-08-29,E.E.A.,2020-03-29
r0070,Aristotle,Mazariego,M,1971-07-01,E.F.S.A.,2021-01-30
r0071,Ulla,Mauer,F,1960-05-13,E.D.P.S.,2020-03-21
r0072,Agretha,Feyh,F,1973-08-06,E.L.A.,2019-09-09
r0073,Carlene,Chapmond,F,1987-09-16,E.S.A.,2022-02-04
r0074,Merrily,Vanleuven,F,1970-01-28,E.L.A.,2021-12-07
r0075,Dionis,Azzara,M,1997-02-11,E.I.O.P.A.,2020-11-16
r0076,Giffie,Blumkin,M,1973-09-09,E.I.O.P.A.,2019-08-19
r0077,Larisa,Crousore,F,1982-12-07,E.B.A.,2021-06-25
r0078,Antone,Edmonson,M,1995-07-04,E.C.D.C.,2021-01-18
r0079,Prudence,Grimaldo,F,1990-04-26,E.D.P.S.,2020-09-09
r0080,Patel,Niedermayer,M,1960-02-09,E.I.O.P.A.,2019-08-15
r0081,Juanita,Millbern,M,1998-11-22,E.U.S.P.A.,2021-04-10
r0082,Arturo,Wint,M,1997-01-07,EU-OSHA,2020-01-26
r0083,Galina,Higbie,F,1963-05-03,E.U.S.P.A.,2019-07-24
r0084,Orel,Blansett,F,1972-03-21,E.A.S.A.,2019-09-11
r0085,Shorty,Marsek,M,1982-02-16,E.D.P.B.,2022-03-18
r0086,Albina,Fierra,F,1988-02-21,E.A.S.A.,2019-06-10
r0087,Germaine,Placide,M,1977-04-23,B.E.R.E.C.,2019-12-24
r0088,Tamas,Sefcik,M,1994-03-29,E.I.G.E.,2021-05-22
r0089,Corby,Seery,M,1978-07-24,E.D.P.B.,2019-08-19
r0090,Donni,Dado,F,1973-02-27,E.F.S.A.,2020-12-23
r0091,Tyler,Guiliano,M,1997-11-21,E.S.A.,2021-10-31
r0092,Ephrayim,Depriest,M,1989-11-28,E.D.P.S.,2020-01-27
r0093,Vaclav,Doskocil,M,1979-08-18,E.L.A.,2019-10-01
r0094,Brodie,Arambulo,M,1990-09-19,E.L.A.,2021-08-14
r0095,Engelbart,Mcauley,M,1989-11-01,E.B.A.,2020-10-14
r0096,Page,Blyth,M,1982-10-29,A.C.E.R.,2021-02-16
r0097,Emelita,Corde,F,1987-11-29,E.CH.A.,2022-01-22
r0098,Farand,Mummert,F,1978-03-23,E.C.D.C.,2020-09-28
r0099,Dyanne,Everett,F,1982-07-25,E.B.A.,2020-02-19
